A1|Potato Crisps|3.05|Chip
A2|Stackers|1.45|Chip
A3|Grain Waves|2.75|Chip
A4|Cloud Popcorn|3.65|Chip
A5|Cape Cod|2.25|Chip
B1|Moonpie|1.80|Candy
B2|Cowtales|1.50|Candy
B3|Wonka Bar|1.50|Candy
B4|Crunchie|1.75|Candy
B5|Klik Bar|1.85|Candy
C1|Cola|1.25|Drink
C2|Dr. Salt|1.50|Drink
C3|Mountain Melter|1.50|Drink
C4|Heavy|1.50|Drink
C5|Diet Cola|1.25|Drink
D1|U-Chews|0.85|Gum
D2|Little League Chew|0.95|Gum
D3|Chiclets|0.75|Gum
D4|Triplemint|0.75|Gum
D5|Baseball Gum|2.50|Gum
E1|Mini Granola|0.75|Granola
E2|Granola Bars|2.25|Granola
E3|Oatmeal|1.75|Granola
E4|Nutty Fruit Bar|1.35|Granola
E5|Granola Mix|1.75|Granola